ensembl_gene_id,external_gene_name
ENSG00000169031,COL4A3
ENSG00000081052,COL4A4
ENSG00000188153,COL4A5
ENSG00000130635,COL5A1
ENSG00000204262,COL5A2
ENSG00000142156,COL6A1
ENSG00000142173,COL6A2
ENSG00000163359,COL6A3
ENSG00000114270,COL7A1
ENSG00000206561,COLQ
ENSG00000173085,COQ2
ENSG00000167113,COQ4
ENSG00000110871,COQ5
ENSG00000119723,COQ6
ENSG00000167186,COQ7
ENSG00000163050,COQ8A
ENSG00000123815,COQ8B
ENSG00000088682,COQ9
ENSG00000006695,COX10
ENSG00000178449,COX14
ENSG00000014919,COX15
ENSG00000203667,COX20
ENSG00000111775,COX6A1
ENSG00000126267,COX6B1
ENSG00000131174,COX7B
ENSG00000176340,COX8A
ENSG00000168993,CPLX1
ENSG00000021826,CPS1
ENSG00000110090,CPT1A
ENSG00000157184,CPT2
ENSG00000005339,CREBBP
ENSG00000006016,CRLF1
ENSG00000170275,CRTAP
ENSG00000109846,CRYAB
ENSG00000160213,CSTB
ENSG00000178971,CTC1
ENSG00000040531,CTNS
ENSG00000064601,CTSA
ENSG00000117984,CTSD
ENSG00000143387,CTSK
ENSG00000107611,CUBN
ENSG00000044090,CUL7
ENSG00000153015,CWC27
ENSG00000051523,CYBA
ENSG00000165168,CYBB
ENSG00000179091,CYC1
ENSG00000140459,CYP11A1
ENSG00000160882,CYP11B1
ENSG00000148795,CYP17A1
ENSG00000231852,CYP21A2
ENSG00000019186,CYP24A1
ENSG00000135929,CYP27A1
ENSG00000111012,CYP27B1
ENSG00000171954,CYP4F22
ENSG00000180902,D2HGDH
ENSG00000173402,DAG1
ENSG00000117593,DARS2
ENSG00000137992,DBT
ENSG00000152457,DCLRE1C
ENSG00000077279,DCX
ENSG00000134574,DDB2
ENSG00000132437,DDC
ENSG00000175084,DES
ENSG00000114956,DGUOK
ENSG00000116133,DHCR24
ENSG00000172893,DHCR7
ENSG00000150768,DLAT
ENSG00000091140,DLD
ENSG00000090932,DLL3
ENSG00000198947,DMD
ENSG00000152592,DMP1
ENSG00000138346,DNA2
ENSG00000154099,DNAAF1
ENSG00000105877,DNAH11
ENSG00000039139,DNAH5
ENSG00000122735,DNAI1
ENSG00000105993,DNAJB6
ENSG00000205981,DNAJC19
ENSG00000087470,DNM1L
ENSG00000079805,DNM2
ENSG00000088305,DNMT3B
ENSG00000107099,DOCK8
ENSG00000175920,DOK7
ENSG00000175283,DOLK
ENSG00000159147,DONSON
ENSG00000172269,DPAGT1
ENSG00000000419,DPM1
ENSG00000136908,DPM2
ENSG00000179085,DPM3
ENSG00000188641,DPYD
ENSG00000096696,DSP
ENSG00000140279,DUOX2
ENSG00000187240,DYNC2H1
ENSG00000135636,DYSF
ENSG00000103356,EARS2
ENSG00000127884,ECHS1
ENSG00000158813,EDA
ENSG00000135960,EDAR
ENSG00000186197,EDARADD
ENSG00000124205,EDN3
ENSG00000136160,EDNRB
ENSG00000172638,EFEMP2
ENSG00000096093,EFHC1
ENSG00000090776,EFNB1
ENSG00000108883,EFTUD2
ENSG00000122877,EGR2
ENSG00000172071,EIF2AK3
ENSG00000006744,ELAC2
ENSG00000197561,ELANE
ENSG00000049540,ELN
ENSG00000070061,ELP1
ENSG00000102119,EMD
ENSG00000106991,ENG
ENSG00000197594,ENPP1
ENSG00000152223,EPG5
ENSG00000112425,EPM2A
ENSG00000065361,ERBB3
ENSG00000104884,ERCC2
ENSG00000163161,ERCC3
ENSG00000175595,ERCC4
ENSG00000134899,ERCC5
ENSG00000225830,ERCC6
ENSG00000049167,ERCC8
ENSG00000171320,ESCO2
ENSG00000140374,ETFA
ENSG00000105379,ETFB
ENSG00000171503,ETFDH
ENSG00000105755,ETHE1
ENSG00000072840,EVC
ENSG00000173040,EVC2
ENSG00000182197,EXT1
ENSG00000151348,EXT2
ENSG00000104313,EYA1
ENSG00000112319,EYA4
ENSG00000106462,EZH2
ENSG00000088926,F11
ENSG00000180210,F2
ENSG00000185010,F8
ENSG00000101981,F9
ENSG00000103876,FAH
ENSG00000122591,FAM126A
ENSG00000170264,FAM161A
ENSG00000177706,FAM20C
ENSG00000187741,FANCA
ENSG00000181544,FANCB
ENSG00000158169,FANCC
ENSG00000144554,FANCD2
ENSG00000221829,FANCG
ENSG00000140525,FANCI
ENSG00000145982,FARS2
ENSG00000026103,FAS
ENSG00000117560,FASLG
ENSG00000118246,FASTKD2
ENSG00000196159,FAT4
ENSG00000140092,FBLN5
ENSG00000166147,FBN1
ENSG00000138829,FBN2
ENSG00000112234,FBXL4
ENSG00000161513,FDXR
ENSG00000149781,FERMT3
ENSG00000171560,FGA
ENSG00000171564,FGB
ENSG00000102302,FGD1
ENSG00000139132,FGD4
ENSG00000186895,FGF3
ENSG00000077782,FGFR1
ENSG00000066468,FGFR2
ENSG00000068078,FGFR3
ENSG00000171557,FGG
ENSG00000091483,FH
ENSG00000022267,FHL1
ENSG00000181027,FKRP
ENSG00000106692,FKTN
ENSG00000160688,FLAD1
ENSG00000154803,FLCN
ENSG00000196924,FLNA
ENSG00000054598,FOXC1
ENSG00000176692,FOXC2
ENSG00000103241,FOXF1
ENSG00000176165,FOXG1
ENSG00000109101,FOXN1
ENSG00000049768,FOXP3
ENSG00000110074,FOXRED1
ENSG00000138759,FRAS1
ENSG00000150893,FREM2
ENSG00000087086,FTL
ENSG00000179163,FUCA1
ENSG00000165060,FXN
ENSG00000131482,G6PC
ENSG00000141349,G6PC3
ENSG00000160211,G6PD
ENSG00000171298,GAA
ENSG00000054983,GALC
ENSG00000117308,GALE
ENSG00000108479,GALK1
ENSG00000141012,GALNS
ENSG00000213930,GALT
ENSG00000130005,GAMT
ENSG00000261609,GAN
ENSG00000106105,GARS
ENSG00000102145,GATA1
ENSG00000136574,GATA4
ENSG00000171766,GATM
ENSG00000177628,GBA
ENSG00000114480,GBE1
ENSG00000105607,GCDH
ENSG00000106633,GCK
ENSG00000140905,GCSH
ENSG00000104381,GDAP1
ENSG00000131095,GFAP
ENSG00000127554,GFER
ENSG00000168827,GFM1
ENSG00000164347,GFM2
ENSG00000198380,GFPT1
ENSG00000152661,GJA1
ENSG00000169562,GJB1
ENSG00000165474,GJB2
ENSG00000198835,GJC2
ENSG00000102393,GLA
ENSG00000170266,GLB1
ENSG00000178445,GLDC
ENSG00000186417,GLDN
ENSG00000119392,GLE1
ENSG00000106571,GLI3
ENSG00000145888,GLRA1
ENSG00000148672,GLUD1
ENSG00000135821,GLUL
ENSG00000173540,GMPPB
ENSG00000087460,GNAS
ENSG00000159921,GNE
ENSG00000116906,GNPAT
ENSG00000111670,GNPTAB
ENSG00000090581,GNPTG
ENSG00000109163,GNRHR
ENSG00000135677,GNS
ENSG00000108433,GOSR2
ENSG00000197858,GPAA1
ENSG00000147257,GPC3
ENSG00000101850,GPR143
ENSG00000121957,GPSM2
ENSG00000141449,GREB1L
ENSG00000137106,GRHPR
ENSG00000152578,GRIA4
ENSG00000105464,GRIN2D
ENSG00000155974,GRIP1
ENSG00000100983,GSS
ENSG00000130299,GTPBP3
ENSG00000169919,GUSB
ENSG00000111713,GYS2
ENSG00000130600,H19
ENSG00000162882,HAAO
ENSG00000138796,HADH
ENSG00000084754,HADHA
ENSG00000138029,HADHB
ENSG00000112855,HARS2
ENSG00000143575,HAX1
ENSG00000244734,HBB
ENSG00000172534,HCFC1
ENSG00000147099,HDAC8
ENSG00000163666,HESX1
ENSG00000213614,HEXA
ENSG00000049860,HEXB
ENSG00000113924,HGD
ENSG00000165102,HGSNAT
ENSG00000198130,HIBCH
ENSG00000169567,HINT1
ENSG00000197061,HIST1H4C
ENSG00000159267,HLCS
ENSG00000117305,HMGCL
ENSG00000134240,HMGCS2
ENSG00000108753,HNF1B
ENSG00000158104,HPD
ENSG00000165704,HPRT1
ENSG00000107521,HPS1
ENSG00000163755,HPS3
ENSG00000100099,HPS4
ENSG00000110756,HPS5
ENSG00000174775,HRAS
ENSG00000176387,HSD11B2
ENSG00000072506,HSD17B10
ENSG00000130948,HSD17B3
ENSG00000133835,HSD17B4
ENSG00000099377,HSD3B7
ENSG00000152137,HSPB8
ENSG00000142798,HSPG2
ENSG00000166033,HTRA1
ENSG00000198331,HYLS1
ENSG00000067704,IARS2
ENSG00000181873,IBA57
ENSG00000163600,ICOS
ENSG00000010404,IDS
ENSG00000127415,IDUA
ENSG00000115267,IFIH1
ENSG00000027697,IFNGR1
ENSG00000159128,IFNGR2
ENSG00000187535,IFT140
ENSG00000068885,IFT80
ENSG00000017427,IGF1
ENSG00000132740,IGHMBP2
ENSG00000147255,IGSF1
ENSG00000110324,IL10RA
ENSG00000113302,IL12B
ENSG00000096996,IL12RB1
ENSG00000136689,IL1RN
ENSG00000147168,IL2RG
ENSG00000168685,IL7R
ENSG00000254647,INS
ENSG00000171105,INSR
ENSG00000119509,INVS
ENSG00000173226,IQCB1
ENSG00000117595,IRF6
ENSG00000140968,IRF8
ENSG00000135070,ISCA1
ENSG00000165898,ISCA2
ENSG00000136003,ISCU
ENSG00000187608,ISG15
ENSG00000214960,ISPD
ENSG00000091409,ITGA6
ENSG00000135424,ITGA7
ENSG00000132470,ITGB4
ENSG00000128928,IVD
ENSG00000101384,JAG1
ENSG00000105639,JAK3
ENSG00000173801,JUP
ENSG00000120071,KANSL1
ENSG00000065427,KARS
ENSG00000156650,KAT6B
ENSG00000234438,KBTBD13
ENSG00000111262,KCNA1
ENSG00000180509,KCNE1
ENSG00000055118,KCNH2
ENSG00000151704,KCNJ1
ENSG00000187486,KCNJ11
ENSG00000123700,KCNJ2
ENSG00000053918,KCNQ1
ENSG00000162687,KCNT2
ENSG00000243335,KCTD7
ENSG00000147050,KDM6A
ENSG00000119537,KDSR
ENSG00000100578,KIAA0586
ENSG00000139116,KIF21A
ENSG00000155980,KIF5A
ENSG00000157404,KIT
ENSG00000105610,KLF1
ENSG00000157119,KLHL40
ENSG00000239474,KLHL41
ENSG00000167548,KMT2D
ENSG00000133703,KRAS
ENSG00000186847,KRT14
ENSG00000186832,KRT16
ENSG00000128422,KRT17
ENSG00000186081,KRT5
ENSG00000205420,KRT6A
ENSG00000115919,KYNU
ENSG00000198910,L1CAM
ENSG00000196976,LAGE3
ENSG00000196569,LAMA2
ENSG00000053747,LAMA3
ENSG00000172037,LAMB2
ENSG00000196878,LAMB3
ENSG00000058085,LAMC2
ENSG00000005893,LAMP2
ENSG00000133424,LARGE1
ENSG00000011376,LARS2
ENSG00000213658,LAT
ENSG00000143815,LBR
ENSG00000130164,LDLR
ENSG00000116678,LEPR
ENSG00000153902,LGI4
ENSG00000107187,LHX3
ENSG00000121454,LHX4
ENSG00000121897,LIAS
ENSG00000113594,LIFR
ENSG00000174405,LIG4
ENSG00000107798,LIPA
ENSG00000144182,LIPT1
ENSG00000175536,LIPT2
ENSG00000189067,LITAF
ENSG00000168216,LMBRD1
ENSG00000160789,LMNA
ENSG00000163380,LMOD3
ENSG00000136944,LMX1B
ENSG00000196365,LONP1
ENSG00000198589,LRBA
ENSG00000081479,LRP2
ENSG00000134569,LRP4
ENSG00000162337,LRP5
ENSG00000138095,LRPPRC
ENSG00000129295,LRRC6
ENSG00000148356,LRSAM1
ENSG00000090006,LTBP4
ENSG00000214113,LYRM4
ENSG00000186687,LYRM7
ENSG00000143669,LYST
ENSG00000099949,LZTR1
ENSG00000204103,MAFB
ENSG00000104774,MAN2B1
ENSG00000169032,MAP2K1
ENSG00000126934,MAP2K2
ENSG00000247626,MARS2
ENSG00000151224,MAT1A
ENSG00000012174,MBTPS2
ENSG00000078070,MCCC1
ENSG00000131844,MCCC2
ENSG00000124370,MCEE
ENSG00000180398,MCFD2
ENSG00000090674,MCOLN1
ENSG00000147316,MCPH1
ENSG00000169057,MECP2
ENSG00000184634,MED12
ENSG00000103313,MEFV
ENSG00000145794,MEGF10
ENSG00000133895,MEN1
ENSG00000116688,MFN2
ENSG00000164073,MFSD8
ENSG00000168282,MGAT2
ENSG00000125871,MGME1
ENSG00000111341,MGP
ENSG00000107745,MICU1
ENSG00000101871,MID1
ENSG00000027001,MIPEP
ENSG00000187098,MITF
ENSG00000125863,MKKS
ENSG00000011143,MKS1
ENSG00000100427,MLC1
ENSG00000103150,MLYCD
ENSG00000151611,MMAA
ENSG00000139428,MMAB
ENSG00000132763,MMACHC
ENSG00000168288,MMADHC
ENSG00000124615,MOCS1
ENSG00000164172,MOCS2
ENSG00000115275,MOGS
ENSG00000060762,MPC1
ENSG00000129255,MPDU1
ENSG00000178802,MPI
ENSG00000117400,MPL
ENSG00000115204,MPV17
ENSG00000158887,MPZ
ENSG00000262814,MRPL12
ENSG00000114686,MRPL3
ENSG00000135900,MRPL44
ENSG00000182180,MRPS16
ENSG00000175110,MRPS22
ENSG00000181610,MRPS23
ENSG00000074071,MRPS34
ENSG00000125445,MRPS7
ENSG00000120149,MSX2
ENSG00000103707,MTFMT
ENSG00000171100,MTM1
ENSG00000135297,MTO1
ENSG00000107951,MTPAP
ENSG00000116984,MTR
ENSG00000124275,MTRR
ENSG00000138823,MTTP
ENSG00000030304,MUSK
ENSG00000146085,MUT
ENSG00000132781,MUTYH
ENSG00000110921,MVK
ENSG00000134323,MYCN
ENSG00000172936,MYD88
ENSG00000125414,MYH2
ENSG00000109063,MYH3
ENSG00000092054,MYH7
ENSG00000100345,MYH9
ENSG00000197535,MYO5A
ENSG00000196586,MYO6
ENSG00000066933,MYO9A
ENSG00000102030,NAA10
ENSG00000160877,NACC1
ENSG00000198951,NAGA
ENSG00000108784,NAGLU
ENSG00000161653,NAGS
ENSG00000137513,NARS2
ENSG00000104320,NBN
ENSG00000116701,NCF2
ENSG00000124479,NDP
ENSG00000125356,NDUFA1
ENSG00000130414,NDUFA10
ENSG00000174886,NDUFA11
ENSG00000184752,NDUFA12
ENSG00000186010,NDUFA13
ENSG00000131495,NDUFA2
ENSG00000189043,NDUFA4
ENSG00000139180,NDUFA9
ENSG00000137806,NDUFAF1
ENSG00000164182,NDUFAF2
ENSG00000178057,NDUFAF3
ENSG00000123545,NDUFAF4
ENSG00000101247,NDUFAF5
ENSG00000156170,NDUFAF6
ENSG00000147123,NDUFB11
ENSG00000119013,NDUFB3
ENSG00000147684,NDUFB9
ENSG00000023228,NDUFS1
ENSG00000158864,NDUFS2
ENSG00000213619,NDUFS3
ENSG00000164258,NDUFS4
ENSG00000145494,NDUFS6
ENSG00000115286,NDUFS7
ENSG00000110717,NDUFS8
ENSG00000167792,NDUFV1
ENSG00000178127,NDUFV2
ENSG00000160194,NDUFV3
ENSG00000183091,NEB
ENSG00000104725,NEFL
ENSG00000137601,NEK1
ENSG00000204386,NEU1
ENSG00000122859,NEUROG3
ENSG00000196712,NF1
ENSG00000186575,NF2
ENSG00000116044,NFE2L2
ENSG00000169599,NFU1
ENSG00000151092,NGLY1
ENSG00000187736,NHEJ1
ENSG00000187566,NHLRC1
ENSG00000188158,NHS
ENSG00000172548,NIPAL4
ENSG00000164190,NIPBL
ENSG00000136352,NKX2-1
ENSG00000183072,NKX2-5
ENSG00000183691,NOG
ENSG00000148400,NOTCH1
ENSG00000134250,NOTCH2
ENSG00000074181,NOTCH3
ENSG00000141458,NPC1
ENSG00000119655,NPC2
ENSG00000144061,NPHP1
ENSG00000113971,NPHP3
ENSG00000131697,NPHP4
ENSG00000161270,NPHS1
ENSG00000116218,NPHS2
ENSG00000169297,NR0B1
ENSG00000136931,NR5A1
ENSG00000213281,NRAS
ENSG00000165671,NSD1
ENSG00000147383,NSDHL
ENSG00000178694,NSUN3
ENSG00000198400,NTRK1
ENSG00000151413,NUBPL
ENSG00000213024,NUP62
ENSG00000065154,OAT
ENSG00000124006,OBSL1
ENSG00000104044,OCA2
ENSG00000197822,OCLN
ENSG00000122126,OCRL
ENSG00000046651,OFD1
ENSG00000198836,OPA1
ENSG00000125741,OPA3
ENSG00000079482,OPHN1
ENSG00000182500,ORAI1
ENSG00000085840,ORC1
ENSG00000092094,OSGEP
ENSG00000145623,OSMR
ENSG00000081087,OSTM1
ENSG00000036473,OTC
ENSG00000155100,OTUD6B
ENSG00000165588,OTX2
ENSG00000083720,OXCT1
ENSG00000117385,P3H1
ENSG00000171759,PAH
ENSG00000077264,PAK3
ENSG00000125779,PANK2
ENSG00000162396,PARS2
ENSG00000135903,PAX3
ENSG00000007372,PAX6
ENSG00000125618,PAX8
ENSG00000185630,PBX1
ENSG00000173599,PC
ENSG00000166228,PCBD1
ENSG00000175198,PCCA
ENSG00000114054,PCCB
ENSG00000113555,PCDH12
ENSG00000165194,PCDH19
ENSG00000124253,PCK1
ENSG00000160299,PCNT
ENSG00000113448,PDE4D
ENSG00000131828,PDHA1
ENSG00000168291,PDHB
ENSG00000110435,PDHX
ENSG00000164951,PDP1
ENSG00000148459,PDSS1
ENSG00000164494,PDSS2
ENSG00000124299,PEPD
ENSG00000229833,PET100
ENSG00000127980,PEX1
ENSG00000157911,PEX10
ENSG00000131779,PEX11B
ENSG00000108733,PEX12
ENSG00000162928,PEX13
ENSG00000142655,PEX14
ENSG00000121680,PEX16
ENSG00000162735,PEX19
ENSG00000164751,PEX2
ENSG00000215193,PEX26
ENSG00000034693,PEX3
ENSG00000139197,PEX5
ENSG00000124587,PEX6
ENSG00000112357,PEX7
ENSG00000152556,PFKM
ENSG00000156531,PHF6
ENSG00000092621,PHGDH
ENSG00000044446,PHKA2
ENSG00000102893,PHKB
ENSG00000156873,PHKG2
ENSG00000109132,PHOX2B
ENSG00000107537,PHYH
ENSG00000083535,PIBF1
ENSG00000103335,PIEZO1
ENSG00000154864,PIEZO2
ENSG00000165195,PIGA
ENSG00000135845,PIGC
ENSG00000185808,PIGP
ENSG00000007541,PIGQ
ENSG00000158828,PINK1
ENSG00000008710,PKD1
ENSG00000118762,PKD2
ENSG00000170927,PKHD1
ENSG00000143627,PKLR
ENSG00000184381,PLA2G6
ENSG00000137055,PLAA
ENSG00000138193,PLCE1
ENSG00000178209,PLEC
ENSG00000171680,PLEKHG5
ENSG00000122194,PLG
ENSG00000083444,PLOD1
ENSG00000123560,PLP1
ENSG00000147471,PLPBP
ENSG00000140650,PMM2
ENSG00000109099,PMP22
ENSG00000127838,PNKD
ENSG00000039650,PNKP
ENSG00000198805,PNP
ENSG00000108439,PNPO
ENSG00000138035,PNPT1
ENSG00000140521,POLG
ENSG00000256525,POLG2
ENSG00000170734,POLH
ENSG00000085998,POMGNT1
ENSG00000144647,POMGNT2
ENSG00000185900,POMK
ENSG00000130714,POMT1
ENSG00000009830,POMT2
ENSG00000127948,POR
ENSG00000102312,PORCN
ENSG00000064835,POU1F1
ENSG00000163644,PPM1K
ENSG00000138814,PPP3CA
ENSG00000131238,PPT1
ENSG00000102103,PQBP1
ENSG00000180644,PRF1
ENSG00000106617,PRKAG2
ENSG00000108946,PRKAR1A
ENSG00000115718,PROC
ENSG00000250799,PRODH2
ENSG00000101292,PROKR2
ENSG00000175325,PROP1
ENSG00000184500,PROS1
ENSG00000147224,PRPS1
ENSG00000143363,PRUNE1
ENSG00000105227,PRX
ENSG00000197746,PSAP
ENSG00000185920,PTCH1
ENSG00000171862,PTEN
ENSG00000168267,PTF1A
ENSG00000160801,PTH1R
ENSG00000179295,PTPN11
ENSG00000150787,PTS
ENSG00000177192,PUS1
ENSG00000100504,PYGL
ENSG00000151552,QDPR
ENSG00000099246,RAB18
ENSG00000112210,RAB23
ENSG00000069974,RAB27A
ENSG00000115839,RAB3GAP1
ENSG00000118873,RAB3GAP2
ENSG00000075785,RAB7A
ENSG00000136238,RAC1
ENSG00000132155,RAF1
ENSG00000166349,RAG1
ENSG00000175097,RAG2
ENSG00000108557,RAI1
ENSG00000165917,RAPSN
ENSG00000146282,RARS2
ENSG00000145715,RASA1
ENSG00000139687,RB1
ENSG00000131795,RBM8A
ENSG00000160957,RECQL4
ENSG00000189056,RELN
ENSG00000143839,REN
ENSG00000165731,RET
ENSG00000163933,RFT1
ENSG00000168411,RFWD3
ENSG00000143622,RIT1
ENSG00000155906,RMND1
ENSG00000269900,RMRP
ENSG00000171865,RNASEH1
ENSG00000104889,RNASEH2A
ENSG00000136104,RNASEH2B
ENSG00000172922,RNASEH2C
ENSG00000169071,ROR2
ENSG00000103494,RPGRIP1L
ENSG00000147403,RPL10
ENSG00000142676,RPL11
ENSG00000182899,RPL35A
ENSG00000122406,RPL5
ENSG00000124614,RPS10
ENSG00000105372,RPS19
ENSG00000138326,RPS24
ENSG00000197728,RPS26
ENSG00000177189,RPS6KA3
ENSG00000048392,RRM2B
ENSG00000102104,RS1
ENSG00000111834,RSPH4A
ENSG00000172426,RSPH9
ENSG00000124813,RUNX2
ENSG00000198853,RUSC2
ENSG00000118600,RXYLT1
ENSG00000196218,RYR1
ENSG00000198626,RYR2
ENSG00000151835,SACS
ENSG00000103449,SALL1
ENSG00000101115,SALL4
ENSG00000101347,SAMHD1
ENSG00000104835,SARS2
ENSG00000126524,SBDS
ENSG00000168356,SCN11A
ENSG00000144285,SCN1A
ENSG00000007314,SCN4A
ENSG00000183873,SCN5A
ENSG00000111319,SCNN1A
ENSG00000168447,SCNN1B
ENSG00000166828,SCNN1G
ENSG00000133028,SCO1
ENSG00000130489,SCO2
ENSG00000073578,SDHA
ENSG00000205138,SDHAF1
ENSG00000117118,SDHB
ENSG00000204370,SDHD
ENSG00000101310,SEC23B
ENSG00000162430,SELENON
ENSG00000122335,SERAC1
ENSG00000149131,SERPING1
