"PanelAPP.Gene.Symbol","PanelAPP.Model_Of_Inheritance","PanelAPP.Phenotypes","PanelAPP.UserRatings_Green_amber_red","PanelAPP.EnsemblId.GRch37"
"C1QC","BIALLELIC, autosomal or pseudoautosomal","C1q deficiency, 613652;Complement component 1 deficiency;Immunodeficiency due to a classical component pathway complement deficiency;SLE, infections with encapsulated organisms;Complement Deficiencies","100;0;0","ENSG00000159189"
"C1R","BIALLELIC, autosomal or pseudoautosomal","C1r/C1s deficiency, combined, Lupus;Complement component 1 deficiency;Immunodeficiency due to a classical component pathway complement deficiency;SLE;pyogenic infections;SLE, infections with encapsulated organisms, Ehlers Danlos phenotype;Complement Deficiencies","100;0;0","ENSG00000159403"
"C1S","BIALLELIC, autosomal or pseudoautosomal","C1s deficiency, 613783;C1s deficiency, Lupus;Complement component 1 deficiency;SLE;pyogenic infections;SLE, infections with encapsulated organisms, Ehlers Danlos phenotype;Complement Deficiencies","100;0;0","ENSG00000182326"
"C2","BIALLELIC, autosomal or pseudoautosomal","Complement Component C2 Deficiency;C2 deficiency, 217000;Immunodeficiency due to C1, C4, or C2 component complement deficiency;Lupus;SLE, infections with encapsulated organisms, atherosclerosis;Complement Deficiencies","100;0;0","ENSG00000166278"
"C4A","BIALLELIC, autosomal or pseudoautosomal","C4a deficiency, 614380;Complement component 4 deficiency;Immunodeficiency due to a classical component pathway complement deficiency;SLE predisposition;infections with encapsulated organisms;SLE, infections with encapsulated organisms , partial deficiency is common (either C4A or C4B) and appears to have a modest effect on host defense;Complement Deficiencies","100;0;0","ENSG00000244731"
"C4B","BIALLELIC, autosomal or pseudoautosomal","C4B deficiency, 614379;SLE predisposition;SLE, infections with encapsulated organisms , partial deficiency is common (either C4A or C4B) and appears to have a modest effect on host defense;Complement Deficiencies","100;0;0","ENSG00000224389"
"C5","BIALLELIC, autosomal or pseudoautosomal","C5 deficiency, 609536;Complement component 5 deficiency;Susceptibility to invasive bacterial infection, especially meningococcal;Disseminated neisserial infections;Complement Deficiencies","100;0;0","ENSG00000106804"
"C6","BIALLELIC, autosomal or pseudoautosomal","C6 deficiency, 612446;Complement component 6 deficiency;Susceptibility to invasive bacterial infection, especially meningococcal;Disseminated neisserial infections;Complement Deficiencies","100;0;0","ENSG00000039537"
"C7","BIALLELIC, autosomal or pseudoautosomal","C7 deficiency, 610102;Complement component 7 deficiency;Susceptibility to invasive bacterial infection, especially meningococcal;Disseminated neisserial infections;Complement Deficiencies","100;0;0","ENSG00000112936"
"C8A","BIALLELIC, autosomal or pseudoautosomal","C8 deficiency, type I, 613790;Complement component 8 deficiency;Susceptibility to invasive bacterial infection, especially meningococcal;Disseminated neisserial infections;Complement Deficiencies","100;0;0","ENSG00000157131"
"C8B","BIALLELIC, autosomal or pseudoautosomal","C8 deficiency, type II, 613789;Complement component 8 deficiency;Susceptibility to invasive bacterial infection, especially meningococcal;Disseminated neisserial infections;Complement Deficiencies","100;0;0","ENSG00000021852"
"C9","BIALLELIC, autosomal or pseudoautosomal","C9 deficiency, 613825;Complement component 9 deficiency;Susceptibility to invasive bacterial infection, especially meningococcal;Mild susceptibility to disseminated neisserial infections;Complement Deficiencies","100;0;0","ENSG00000113600"
"CARD9","BIALLELIC, autosomal or pseudoautosomal","Candidiasis, familial, 2;212050;CARD9 deficiency;Predisposition to invasive fungal disease due to CARD9 deficiency;Invasive candidiasis infection, deep dermatophytoses, other invasive fungal infections;Defects in Intrinsic and Innate Immunity","100;0;0","ENSG00000187796"
"CARMIL2","BIALLELIC, autosomal or pseudoautosomal","Combined immunodeficiency;warts, molluscum contagiosum, and T cell dysfunction;EBV+ disseminated smooth muscle tumours;Recurrent bacterial, fungal and mycobacterial infections, viral warts, molluscum and EBV lymphoproliferative and other malignancy, atopy;Diseases of Immune Dysregulation","100;0;0","ENSG00000159753"
"CASP10","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Autoimmune lymphoproliferative syndrome, type II, 603909;Autoimmune lymphoproliferative syndrome (ALPS);Adenopathies, splenomegaly, autoimmunity;Diseases of Immune Dysregulation","100;0;0","ENSG00000003400"
"CASP8","BIALLELIC, autosomal or pseudoautosomal","Caspase-8 deficiency state;CEDS;Immunodeficiency due to CASP8 deficiency;Caspase 8 deficiency;Autoimmune lymphoproliferative syndrome (ALPS);?Autoimmune lymphoproliferative syndrome, type IIB, 607271;Adenopathies, splenomegaly, bacterial and viral infections, hypogammaglobulinemia;Diseases of Immune Dysregulation","100;0;0","ENSG00000064012"
"CCBE1","BIALLELIC, autosomal or pseudoautosomal","Hennekam lymphangiectasia-lymphedema syndrome 1, 235510;Lymphangiectasia and lymphedema with facial abnormalities and other dysmorphic features;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000183287"
"CD19","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency, common variable, 3 613493;hypogammaglobulinemia;Immunodeficiency, common variable, 3;Common variable immunodeficiency disorders (CVID);Isolated IgG subclass deficiency;Recurrent infections, may have glomerulonephritis;Predominantly Antibody Deficiencies","100;0;0","ENSG00000177455"
"CD27","BIALLELIC, autosomal or pseudoautosomal","Lymphoproliferative syndrome 2;Combined immunodeficiency with EBV-associated lymphoproliferation;Combined immunodeficiency;CD27 deficiency;Features triggered by EBV infection, HLH, aplastic anemia, low iNKT cells, lymphoma;Diseases of Immune Dysregulation","100;0;0","ENSG00000139193"
"CD3D","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency 19;Severe Combined Immune Deficiency;Severe combined immunodeficiency, T cell-negative, B-cell/natural killer-cell positive;T-B+ SCID;CD3d deficiency;Atypical Severe Combined Immunodeficiency (Atypical SCID);Severe combined immunodeficiency (SCID);Nl NK, no g/d T cells;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000167286"
"CD3E","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency 18, SCID variant;Severe Combined Immune Deficiency;Immunodeficiency due to defect in CD3-epsilon;T-B+ SCID;CD3e deficiency;Atypical Severe Combined Immunodeficiency (Atypical SCID);Severe combined immunodeficiency (SCID);Nl NK, no g/d T cells;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000198851"
"CD3G","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency 17, CD3 gamma deficient 615607;CD3z deficiency;Combined immunodeficiency;N/A;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000160654"
"CD40","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency with hyper-IgM, type 3;HIGM3;CD40 deficiency;CSR defects and Hyper IgM (HIGM) syndromes;Hyper-IgM syndrome due to CD40 deficiency;non-X-linked hyper IgM syndrome;Neutropenia, opportunistic infections, gastrointestinal and biliary tract and liver disease, Cryptosporidium infections;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000101017"
"CD40LG","X-LINKED: hemizygous mutation in males, biallelic mutations in females","Immunodeficiency, X-linked, with hyper-IgM;CD40 ligand deficiency;CSR defects and Hyper IgM (HIGM) syndromes;Hyper-IGM immunodeficiency, X-linked;XHIM;Hyper-IGM syndrome;HIGM;IHIS;Immunodeficiency 3;IMD3;Hyper-IgM syndrome due to CD40 ligand deficiency;Hyper-IgM syndrome due to CD40L deficiency;Hyper-IgM syndrome type 1;HIGM1;Neutropenia, thrombocytopenia, hemolytic anemia, opportunistic infections, biliary tract and liver disease, Cryptosporidium infections;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000102245"
"CD46","BOTH monoallelic and biallelic, autosomal or pseudoautosomal","Hemolytic uremic syndrome, atypical, susceptibility to, 2, 612922;Membrane Cofactor Protein (CD46) deficiency;atypical HUS;Atypical hemolytic-uremic syndrome, infections, preeclampsia;Complement Deficiencies","100;0;0","ENSG00000117335"
"CD55","BIALLELIC, autosomal or pseudoautosomal","Decay-accelerating factor for complement deficiency (DAF CD55);protein-losing enteropathy;hypogammaglobulinaemia;angiopathic thrombosis;primary intestinal lymphangiectasia;Protein losing enteropathy, thrombosis;Complement Deficiencies","100;0;0","ENSG00000196352"
"CD59","BIALLELIC, autosomal or pseudoautosomal","Hemolytic anemia, CD59-mediated, with or without immune-mediated polyneuropathy, 612300;CD59 antigen P18-20 deficiency (CD59);Membrane Attack Complex Inhibitor (CD59) deficiency;Primary CD59 deficiency;paroxysmal nocturnal haemoglobinuria;chronic hemolysis;childhood relapsing immune-mediated polyneuropathy;Hemolytic anemia, polyneuropathy;Complement Deficiencies","100;0;0","ENSG00000085063"
"CD70","BIALLELIC, autosomal or pseudoautosomal","Combined immunodeficiency;CD70-deficiency;EBV-related malignancy;EBV susceptibility, Hodgkin lymphoma;Diseases of Immune Dysregulation","100;0;0","ENSG00000125726"
"CD79A","BIALLELIC, autosomal or pseudoautosomal","Agammaglobulinemia 3, 613501;Agammaglobulinemia 3;Agammaglobulinemia;CD79A deficiency;Agammaglobulinemia with autosomal recessive inheritance (ARA);Severe bacterial infections, normal numbers of pro-B cells;Predominantly Antibody Deficiencies","80;0;20","ENSG00000105369"
"CD79B","BIALLELIC, autosomal or pseudoautosomal","Agammaglobulinemia 6, 612692;Agammaglobulinemia 6;Agammaglobulinemia;CD79B deficiency, Agammaglobulinemia with autosomal recessive inheritance (ARA);Severe bacterial infections, normal numbers of pro-B cells;Predominantly Antibody Deficiencies","75;0;25","ENSG00000007312"
"CDCA7","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency-centromeric instability-facial anomalies syndrome;ICF;Immunodeficiency-centromeric instability-facial anomalies syndrome 3, 616910;ICF3;immunodeficiency, centromeric instability, facial anomalies syndrome type 3;recurrent respiratory infections;hypogammaglobulinaemia;enteropathy;Facial dysmorphic features, macroglossia, bacterial/opportunistic infections, malabsorption, cytopenias, malignancies,  multiradial configurations of chromosomes 1, 9, 16;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000144354"
"CFD","BIALLELIC, autosomal or pseudoautosomal","Complement factor D deficiency, 613912;Complement factor D deficiency;Factor D deficiency;Recurrent Neisseria infections due to factor D deficiency;Neisserial infections;Complement Deficiencies","100;0;0","ENSG00000197766"
"CFH","BOTH monoallelic and biallelic, autosomal or pseudoautosomal","Complement factor H deficiency, 609814;Infections, disseminated neisserial infections, atypical Hemolytic-uremic syndrome, preeclampsia, dense deposit disease;Complement Deficiencies","100;0;0","ENSG00000000971"
"CFI","BIALLELIC, autosomal or pseudoautosomal","Complement factor I deficiency, 610984;{Hemolytic uremic syndrome, atypical, susceptibility to, 3}, 612923;{Macular degeneration, age-related, 13, susceptibility to}, 615439;Complement factor I deficiency;C3b inactivator deficiency;Factor I deficiency;Immunodeficiency with factor I anomaly;Infections, disseminated neisserial infections, atypical Hemolytic-uremic syndrome, preeclampsia;Complement Deficiencies","100;0;0","ENSG00000205403"
"CFP","X-LINKED: hemizygous mutation in males, biallelic mutations in females","Properdin deficiency;Properdin P factor complement deficiency (PFC);Neisserial infections;Complement Deficiencies","100;0;0","ENSG00000126759"
"CHD7","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Charge syndrome;CHARGE syndrome, 214800;Immunodeficiency;COLOBOMA, HEART ANOMALY, CHOANAL ATRESIA, RETARDATION, GENITAL AND EAR ANOMALIES;Coloboma, heart anomaly, choanal atresia, intellectual disability, genital and ear anomalies, CNS malformation, some are SCID-like and have low TRECs;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000171316"
"CIITA","BIALLELIC, autosomal or pseudoautosomal","Bare lymphocyte syndrome, type II, complementation group A;Combined immunodeficiency (MHC class II deficiency, bare lymphocyte syndrome);HLA class II deficiency;Respiratory and gastrointestinal infections, liver/biliary tract disease;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000179583"
"CLPB","BIALLELIC, autosomal or pseudoautosomal","3-methylglutaconic aciduria, type VII;3-methylglutaconic aciduria, type VII, with cataracts, neurologic involvement and neutropenia, 616271;3-methylglutaconic aciduria, type 7;Recurrent or severe infection;Neurocognitive developmental aberrations, microcephaly, hypoglycemia, hypotonia, ataxia, seizures, cataracts, IUGR;Congenital defects of phagocyte number or function","100;0;0","ENSG00000162129"
"COPA","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Autoimmune inflammatoy arthritis and interstial lung disease, 616414;Autoimmune interstitial lung disease-arthritis syndrome;COPA syndrome;Autoimmune inflammatory arthritis and interstitial lung disease with Th17 dysregulation and autoantibody production;Autoinflammatory Disorders","100;0;0","ENSG00000122218"
"CORO1A","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency 8;Combined immunodeficiency;hypogammaglobulinaemia, combined immunodeficiency;Coronin-1A deficiency;Atypical Severe Combined Immunodeficiency (Atypical SCID);Severe combined immunodeficiency (SCID);Omenn syndrome;Detectable thymus, EBV;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000102879"
"CSF2RA","X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)","Surfactant metabolism dysfunction, pulmonary 4,  300770;Congenital pulmonary alveolar proteinosis;hypersensitivity;Pulmonary alveolar proteinosis;Alveolar proteinosis;Congenital defects of phagocyte number or function","100;0;0","ENSG00000198223"
"CSF3R","BIALLELIC, autosomal or pseudoautosomal","Neutropenia, severe congenital, 7, autosomal recessive, 617014;Neutropenia, severe congenital 7;Congenital neutropenia;N/A;Congenital defects of phagocyte number or function","67;0;33","ENSG00000119535"
"CTLA4","MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted","CVID;hypogammaglobulinaemia;lymphadenopathy;T cell lymphopenia;enteropathy;interstitual lung disease;autoimmunity;Autoimmune lymphoproliferative syndrome, type V 616100;Autoimmune lymphoproliferative syndrome, type V;Combined immunodeficiency;Early-onset multi-organ autoimmune disease;Immune dysregulation;a broad range of autoimmune phenomena have been described along with polyclonal lymphocytic infiltrates. Susceptibility to infection and hypogammaglobulinaemia are not usually present in isolation;Autoimmune cytopenias, enteropathy, interstitial lung disease, extra-lymphoid lymphocytic infiltration recurrent infections;Diseases of Immune Dysregulation","100;0;0","ENSG00000163599"
"CTPS1","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency 24, 615897;Severe combined immunodeficiency due to CTPS1 deficiency;Patients develop Epstein-Barr Virus (EBV) driven Hemophagocytic Lymphohistiocytosis (HLH );Recurrent/chronic bacterial and viral infections (EBV, VZV), EBV lymphoproliferation, B-cell non-Hodgkin lymphoma;Diseases of Immune Dysregulation","100;0;0","ENSG00000171793"
"CXCR4","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","WHIM syndrome, 193670;Myelokathexis, isolated;WHIM syndrome;Warts hypogammaglobulinemia infections and myelokathexis (WHIM);Warts (HPV) infection, neutropenia, low B cell number, hypogammaglobulinemia;Defects in Intrinsic and Innate Immunity","100;0;0","ENSG00000121966"
"CYBA","BIALLELIC, autosomal or pseudoautosomal","Chronic granulomatous disease, autosomal, due to deficiency of CYBA,233690;Chronic granulomatous disease (CGD);Infections, autoinflammatory phenotype;Congenital defects of phagocyte number or function","100;0;0","ENSG00000051523"
"DCLRE1B","BIALLELIC, autosomal or pseudoautosomal","Hoyeraal-Hreidarsson syndrome;Intrauterine growth retardation, microcephaly, nail dystrophy, sparse scalp hair and eyelashes, hyperpigmentation of skin, palmar hyperkeratosis, premalignant oral leukoplakia, pancytopenia, myelodysplasia, +/- recurrent infections. A severe phenotype with developmental delay and cerebellar hypoplasia known as Hoyeraal-Hreidarsson Syndrome (HHS) may occur in some DKC patients;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000118655"
"DCLRE1C","BIALLELIC, autosomal or pseudoautosomal","Severe combined immunodeficiency, Athabascan type;Severe combined immunodeficiency, Athabascan type, 602450;T-B- SCID;T-B+ SCID;Severe Combined Immunodeficiency With Sensitivity To Ionizing Radiation;DCLRE1C (Artemis) deficiency;Atypical Severe Combined Immunodeficiency (Atypical SCID);Combined immunodeficiency;Omenn syndrome;Severe combined immunodeficiency (SCID);Nl NK, radiation sensitive;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000152457"
"DNMT3B","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency-centromeric instability-facial anomalies syndrome 1, 242860;Immunodeficiency-centromeric instability-facial anomalies syndrome 1;Immunodeficiency centromeric instability facial anomalies syndrome (ICF);Facial dysmorphic features, developmental delay, macroglossia, bacterial/opportunistic infections, malabsorption, cytopenias, malignancies,  multiradial configurations of chromosomes 1, 9, 16;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000088305"
"DOCK2","BIALLELIC, autosomal or pseudoautosomal","Dock 2 deficiency, Immunodeficiency 40;Immunodeficiency 40, 616433;Nl NK cells, but defective function. Poor interferon responses in hematopoietic and non-hematopoietic cells;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000134516"
"DOCK8","BIALLELIC, autosomal or pseudoautosomal","Hyper-IgE recurrent infection syndrome, autosomal recessive;Hyper-IgE recurrent infection syndrome;impaired T cell function, Atopy, cutaneous viral infections;Combined immunodeficiency;Hyper IgE syndrome (HIES);Low NK cells with poor function, eosinophilia, recurrent infections, cutaneous viral, fungal and staphylococcal infections, severe atopy, cancer diathesis;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000107099"
"ELANE","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Neutropenia, cyclic, 162800;Neutropenia, severe congenital 1, autosomal dominant, 202700;Neutropenia, severe congenital 1;Congenital neutropenia;Cyclic neutropenia;Susceptibility to MDS/leukemia, Severe congenital neutropenia or cyclic neutropenia;Congenital defects of phagocyte number or function","100;0;0","ENSG00000197561"
"EPG5","BIALLELIC, autosomal or pseudoautosomal","Vici syndrome, 242840;Immunodeficiency with cleft lip/palate, cataract, hypopigmentation, and absent corpus callosum;Vici syndrome;syndromic phenotype (immunodeficiency variable);Vici syndrome due to EPG5 deficiency;Agenesis of the corpus callosum, cataracts, cardiomyopathy, skin hypopigmentation,  intellectual disability, microcephaly, recurrent infections, chronic mucocutaneous candidiasis;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000152223"
"EXTL3","BIALLELIC, autosomal or pseudoautosomal","Immunoskeletal dysplasia with neurodevelopmental abnormalities, 617425;EXTL3 deficiency;Platyspondyly, kyphosis, variable skeletal dysplasias, developmental delay;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000012232"
"FADD","BIALLELIC, autosomal or pseudoautosomal","Infections, recurrent, with encephalopathy, hepatic dysfunction, and cardiovasuclar malformations, 613759;ALPS-like disease;functional hyposplenism;invasive pneumococcal disease;para-infectious encephalopathy and hepatopathy;cardiovascular malformations;Functional hyposplenism, bacterial and viral infections, recurrent episodes of encephalopathy and liver dysfunction;Diseases of Immune Dysregulation","100;0;0","ENSG00000168040"
"FAS","BOTH monoallelic and biallelic, autosomal or pseudoautosomal","Autoimmune lymphoproliferative syndrome type IA, 601859;Autoimmune lymphoproliferative syndrome, type IA (ALPS-FAS);Autoimmune lymphoproliferative syndrome (ALPS);Splenomegaly, adenopathies, autoimmune cytopenias, increased lymphoma risk, IgG and A normal or increased, elevated serum FasL and IL-10, vitamin B12;Diseases of Immune Dysregulation","100;0;0","ENSG00000026103"
"FASLG","BIALLELIC, autosomal or pseudoautosomal","Autoimmune lymphoproliferative syndrome, type IB, 601859;Autoimmune lymphoproliferative syndrome, type IB (ALPS-FASG);Autoimmune lymphoproliferative syndrome (ALPS);Splenomegaly, adenopathies, autoimmune cytopenias, SLE, soluble FasL is not elevated;Diseases of Immune Dysregulation","100;0;0","ENSG00000117560"
"FERMT3","BIALLELIC, autosomal or pseudoautosomal","Leukocyte adhesion deficiency, type III, 612840;LAD;LAD type 1 plus bleeding tendency;Congenital defects of phagocyte number or function","100;0;0","ENSG00000149781"
"FOXN1","BIALLELIC, autosomal or pseudoautosomal","T-B+ SCID;T-B+ SCID, congenital alopecia, nail dystrophy, 601705;T-cell immunodeficiency, congenital alopecia, and nail dystrophy;Nude severe combined immunodeficiency;Severe infections,  abnormal thymic epithelium, immunodeficiency, congenital alopecia, nail dystrophy,  neural tube defect;Combined immunodeficiencies with associated or syndromic features","50;25;25","ENSG00000109101"
"FOXP3","X-LINKED: hemizygous mutation in males, biallelic mutations in females","Immunodysregulation, polyendocrinopathy, and enteropathy, X-linked, 304790;IPEX;FOXP3 deficiency (IPEX);Immune dysregulation polyendocrinopathy enteropathy X-linked syndrome;Autoimmune enteropathy, early onset diabetes, hyroiditis hemolytic anemia, thrombocytopenia, eczema, elevated IgE, IgA;Diseases of Immune Dysregulation","100;0;0","ENSG00000049768"
"G6PC3","BIALLELIC, autosomal or pseudoautosomal","Neutropenia, severe congenital 4, autosomal recessive, 612541;Dursun syndrome, 612541;Severe Congenital Neutropenia;Neutropenia, severe congenital 4;Congenital neutropenia;Structural heart defects, urogenital abnormalities, inner ear deafness, and venous angiectasias of trunks and limbs;Congenital defects of phagocyte number or function","100;0;0","ENSG00000141349"
"G6PD","X-LINKED: hemizygous mutation in males, biallelic mutations in females","Glucose-6-phosphate dehydrogenase deficiency (G6PD);haemolytic anaemia;chronic granulomatous disease-like susceptibility to infection;Infections;Congenital defects of phagocyte number or function","100;0;0","ENSG00000160211"
